Name,Release_year,Rating,Total_Rating,Duration
Jodaeiye Nader az Simin,2011,8.3,259K,2 h 3 m
The Sting,1973,8.3,280K,2 h 9 m
Indiana Jones and the Last Crusade,1989,8.2,813K,2 h 7 m
Die Hard,1988,8.2,948K,2 h 12 m
Metropolis,1927,8.3,186K,2 h 33 m
Taare Zameen Par,2007,8.3,207K,2 h 42 m
Snatch,2000,8.2,913K,1 h 44 m
Hamilton,2020,8.3,114K,2 h 40 m
L.A,1997,8.2,619K,2 h 18 m
1917,2019,8.2,679K,1 h 59 m
Ladri di biciclette,1948,8.3,176K,1 h 29 m
Taxi Driver,1976,8.2,924K,1 h 54 m
Der Untergang,2004,8.2,376K,2 h 36 m
Dangal,2016,8.3,212K,2 h 41 m
Per qualche dollaro in più,1965,8.2,275K,2 h 12 m
Batman Begins,2005,8.2,1.6M,2 h 20 m
The Wolf of Wall Street,2013,8.2,1.6M,3 h m
Some Like It Hot,1959,8.2,284K,2 h 1 m
Green Book,2018,8.2,575K,2 h 10 m
The Kid,1921,8.2,135K,1 h 8 m
The Father,2020,8.2,194K,1 h 37 m
Judgment at Nuremberg,1961,8.3,86K,2 h 59 m
The Truman Show,1998,8.2,1.2M,1 h 43 m
All About Eve,1950,8.2,139K,2 h 18 m
Top Gun: Maverick,2022,8.2,703K,2 h 10 m
Shutter Island,2010,8.2,1.5M,2 h 18 m
There Will Be Blood,2007,8.2,643K,2 h 38 m
Casino,1995,8.2,566K,2 h 58 m
Jurassic Park,1993,8.2,1.1M,2 h 7 m
Ran,1985,8.2,137K,2 h 40 m
The Sixth Sense,1999,8.2,1.1M,1 h 47 m
El laberinto del fauno,2006,8.2,704K,1 h 58 m
Unforgiven,1992,8.2,437K,2 h 10 m
No Country for Old Men,2007,8.2,1.1M,2 h 2 m
A Beautiful Mind,2001,8.2,989K,2 h 15 m
The Thing,1982,8.2,468K,1 h 49 m
Kill Bill: Vol,2003,8.2,1.2M,1 h 51 m
The Treasure of the Sierra Madre,1948,8.2,133K,2 h 6 m
Yôjinbô,1961,8.2,132K,1 h 50 m
Monty Python and the Holy Grail,1975,8.2,571K,1 h 31 m
The Great Escape,1963,8.2,259K,2 h 52 m
Finding Nemo,2003,8.2,1.1M,1 h 40 m
Prisoners,2013,8.2,813K,2 h 33 m
Rashômon,1950,8.2,181K,1 h 28 m
Hauru no ugoku shiro,2004,8.2,451K,1 h 59 m
The Elephant Man,1980,8.2,259K,2 h 4 m
Chinatown,1974,8.1,351K,2 h 10 m
Dial M for Murder,1954,8.2,189K,1 h 45 m
Gone with the Wind,1939,8.2,335K,3 h 58 m
V for Vendetta,2005,8.2,1.2M,2 h 12 m
"Lock, Stock and Two Smoking Barrels",1998,8.1,618K,1 h 47 m
El secreto de sus ojos,2009,8.2,223K,2 h 9 m
Inside Out,2015,8.1,788K,1 h 35 m
Raging Bull,1980,8.1,381K,2 h 9 m
"Three Billboards Outside Ebbing, Missouri",2017,8.1,556K,1 h 55 m
Trainspotting,1996,8.1,727K,1 h 33 m
The Bridge on the River Kwai,1957,8.1,234K,2 h 41 m
Klaus,2019,8.2,190K,1 h 36 m
Fargo,1996,8.1,728K,1 h 38 m
Spider-Man: No Way Home,2021,8.2,883K,2 h 28 m
Catch Me If You Can,2002,8.1,1.1M,2 h 21 m
Warrior,2011,8.1,499K,2 h 20 m
Gran Torino,2008,8.1,816K,1 h 56 m
Tonari no Totoro,1988,8.1,382K,1 h 26 m
Million Dollar Baby,2004,8.1,723K,2 h 12 m
Harry Potter and the Deathly Hallows - Part 2,2011,8.1,951K,2 h 10 m
Bacheha-Ye aseman,1997,8.2,81K,1 h 29 m
12 Years a Slave,2013,8.1,743K,2 h 14 m
Blade Runner,1982,8.1,825K,1 h 57 m
